consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_NC,PPS,LU	0.0965 	0.0938 	0.0976 	0.0938 	0.0952 	0.0918 	0.1086 	0.1101 
4161901,DP_NC,PPS,LV	0.0822 	0.0815 	0.0825 	0.0838 	0.0708 	0.0682 	0.0649 	0.0502 
4161901,DP_NC,PPS,ME	0.1533 	0.1579 	0.1482 	0.1051 	: 	: 	: 	: 
4161901,DP_NC,PPS,MT	0.0274 	0.0282 	0.0287 	0.0291 	0.0301 	0.0302 	0.0307 	0.0000 
4161901,DP_NC,PPS,NL	0.1101 	0.1731 	0.1824 	0.1879 	0.1595 	0.1752 	0.1266 	0.1288 
4161901,DP_NC,PPS,NO	0.1556 	0.1613 	0.1681 	0.1695 	0.1689 	0.1549 	0.1582 	0.1596 
4161901,DP_NC,PPS,PL	0.1442 	0.1445 	0.1392 	0.1396 	0.1325 	0.1198 	0.1260 	0.1297 
4161901,DP_NC,PPS,PT	0.1512 	0.1256 	0.1075 	0.1441 	0.1569 	0.1618 	0.1922 	: 
4161901,DP_NC,PPS,RO	0.1018 	0.1061 	0.1032 	0.0999 	0.1016 	0.0994 	0.0990 	0.0999 
4161901,DP_NC,PPS,RS	0.2744 	0.2979 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,PPS,SE	0.1565 	0.1390 	0.1383 	0.1299 	0.1278 	0.1162 	0.1222 	0.1280 
4161901,DP_NC,PPS,SI	0.0987 	0.1197 	0.1238 	0.1225 	0.1382 	0.1683 	0.1283 	: 
4161901,DP_NC,PPS,SK	0.1968 	0.1996 	0.1907 	0.1822 	0.1740 	0.1800 	0.1886 	0.1696 
4161901,DP_NC,PPS,TR	0.0538 	0.0536 	0.0565 	0.0540 	0.0312 	0.0270 	0.0239 	: 
4161901,DP_NC,PPS,UK	0.0444 	0.0409 	0.0353 	0.0342 	: 	0.0505 	0.0468 	: 
4161901,DP_TL,EUR,AT	0.1094 	0.1029 	0.0938 	0.0868 	0.0852 	0.0852 	0.0838 	: 
4161901,DP_TL,EUR,BA	: 	0.0308 	0.0283 	: 	: 	: 	: 	: 
4161901,DP_TL,EUR,BE	0.0352 	0.0703 	0.0712 	0.0680 	0.0676 	0.0646 	0.0783 	0.0570 
4161901,DP_TL,EUR,BG	0.0152 	0.0147 	0.0160 	0.0142 	0.0141 	0.0138 	0.0138 	0.0123 
4161901,DP_TL,EUR,CY	0.0511 	0.0489 	0.0535 	0.0410 	0.0360 	: 	: 	: 
4161901,DP_TL,EUR,CZ	0.0503 	0.0560 	0.0545 	0.0524 	0.0503 	0.0458 	0.0445 	0.0372 
4161901,DP_TL,EUR,DE	0.1760 	0.1664 	0.1482 	0.1367 	0.1197 	0.1154 	0.1072 	0.1034 
4161901,DP_TL,EUR,DK	0.1781 	0.1743 	0.1737 	0.1722 	0.1570 	0.1489 	0.1519 	0.1429 
4161901,DP_TL,EUR,EE	0.0351 	0.0367 	0.0334 	0.0284 	0.0294 	0.0229 	0.0184 	0.0141 
4161901,DP_TL,EUR,EL	0.0597 	0.0524 	0.0350 	0.0208 	0.0176 	0.0096 	: 	: 
4161901,DP_TL,EUR,ES	0.0997 	0.0860 	0.0796 	0.0732 	0.0653 	0.0573 	0.0575 	: 
4161901,DP_TL,EUR,FI	0.0769 	0.0747 	0.0716 	0.0705 	0.0572 	0.0533 	0.0497 	0.0442 
